R_kf_x,L_kf_x,R_x,L_x,R_kf_v,L_kf_v,R_v,L_v,R_gamma,L_gamma,R_d_gamma,L_d_gamma,R_beta,L_beta,R_d_beta,L_d_beta,R_T_w,L_T_w,R_T_p,L_T_p,R_l,L_l
-8.619555,-8.619555,-0.318772,0.972398,-0.001149,-0.001149,0.000000,0.000000,-0.081212,-0.081212,-0.014242,-0.014242,-0.696357,-0.673216,-0.025232,-0.003251,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619564,-8.619564,-0.318772,0.972398,-0.001093,-0.001093,0.000000,0.000000,-0.081217,-0.081217,-0.001458,-0.001458,-0.696362,-0.673221,-0.012448,0.009532,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619574,-8.619574,-0.318772,0.972398,-0.000977,-0.000977,0.000000,0.000000,-0.081236,-0.081236,-0.014242,-0.014242,-0.696380,-0.673240,-0.025232,-0.003251,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619583,-8.619583,-0.318772,0.972398,-0.000861,-0.000861,0.000000,0.000000,-0.081206,-0.081206,0.001737,0.001737,-0.696351,-0.673210,-0.009253,0.012728,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619593,-8.619593,-0.318772,0.972398,-0.000951,-0.000951,0.000000,0.000000,-0.081246,-0.081246,0.014521,0.014521,-0.696391,-0.673250,0.014521,0.025511,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619602,-8.619602,-0.318772,0.972398,-0.000764,-0.000764,0.000000,0.000000,-0.081227,-0.081227,0.004933,0.004933,-0.696372,-0.673231,-0.006057,0.015923,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619612,-8.619612,-0.318772,0.972398,-0.000811,-0.000811,0.000000,0.000000,-0.081255,-0.081255,-0.004654,-0.004654,-0.696400,-0.673260,-0.015644,0.006336,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619621,-8.619621,-0.318772,0.972398,-0.000957,-0.000957,0.000000,0.000000,-0.081236,-0.081236,0.004933,0.004933,-0.696380,-0.673240,0.004933,0.015923,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619631,-8.619631,-0.318772,0.972398,-0.001014,-0.001014,0.000000,0.000000,-0.081233,-0.081233,0.004933,0.004933,-0.696378,-0.673237,-0.006057,0.015923,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619640,-8.619640,-0.318772,0.972398,-0.000835,-0.000835,0.000000,0.000000,-0.081177,-0.081177,0.005999,0.005999,-0.696322,-0.673181,-0.004992,0.016989,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619650,-8.619650,-0.318772,0.972398,-0.000653,-0.000653,0.000000,0.000000,-0.081168,-0.081168,0.009194,0.009194,-0.696313,-0.673172,-0.001796,0.020184,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619659,-8.619659,-0.318772,0.972398,-0.000901,-0.000901,0.000000,0.000000,-0.081225,-0.081225,-0.008915,-0.008915,-0.696370,-0.673229,-0.019905,0.002075,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
