R_kf_x,L_kf_x,R_x,L_x,R_kf_v,L_kf_v,R_v,L_v,R_kf_w,L_kf_w,a,w
-0.520510,-0.520510,17.455709,-19.697216,0.001140,0.001140,0.000000,0.000000,0.011897,0.011897,0.024018,0.016346
-0.520498,-0.520498,17.455709,-19.697216,0.001348,0.001348,0.000000,0.000000,-0.001076,-0.001076,0.010750,-0.000698
-0.520483,-0.520483,17.455709,-19.697216,0.001598,0.001598,0.000000,0.000000,0.001339,0.001339,0.039269,0.000367
-0.520468,-0.520468,17.455709,-19.697216,0.001501,0.001501,0.000000,0.000000,0.002682,0.002682,0.035795,0.002498
-0.520453,-0.520453,17.455709,-19.697216,0.001501,0.001501,0.000000,0.000000,0.002579,0.002579,-0.021396,-0.001763
-0.520437,-0.520437,17.455709,-19.697216,0.001550,0.001550,0.000000,0.000000,0.009943,0.009943,-0.045582,0.012085
-0.520421,-0.520421,17.455709,-19.697216,0.001631,0.001631,0.000000,0.000000,0.015919,0.015919,0.031032,0.024868
-0.520403,-0.520403,17.455709,-19.697216,0.001976,0.001976,0.000000,0.000000,-0.008888,-0.008888,0.027113,-0.010285
-0.520383,-0.520383,17.455709,-19.697216,0.002087,0.002087,0.000000,0.000000,0.000657,0.000657,0.003810,0.000367
-0.520362,-0.520362,17.455709,-19.697216,0.002001,0.002001,0.000000,0.000000,0.001649,0.001649,-0.032050,0.001433
-0.520342,-0.520342,17.455709,-19.697216,0.002042,0.002042,0.000000,0.000000,0.004810,0.004810,-0.015673,0.003563
-0.520321,-0.520321,17.455709,-19.697216,0.002112,0.002112,0.000000,0.000000,0.008685,0.008685,0.017947,0.003563
-0.520300,-0.520300,17.455709,-19.697216,0.002087,0.002087,0.000000,0.000000,-0.008145,-0.008145,-0.021214,-0.013481
-0.520278,-0.520278,17.455709,-19.697216,0.002215,0.002215,0.000000,0.000000,0.003483,0.003483,0.004985,0.005694
-0.520254,-0.520254,17.455709,-19.697216,0.002436,0.002436,0.000000,0.000000,0.007600,0.007600,0.008430,0.015281
-0.520229,-0.520229,17.455709,-19.697216,0.002560,0.002560,0.000000,0.000000,0.010346,0.010346,0.030193,0.013151
-0.520205,-0.520205,17.455709,-19.697216,0.002442,0.002442,0.000000,0.000000,0.006585,0.006585,0.037659,0.011020
-0.520180,-0.520180,17.455709,-19.697216,0.002453,0.002453,0.000000,0.000000,-0.011601,-0.011601,-0.001862,-0.014546
-0.520155,-0.520155,17.455709,-19.697216,0.002433,0.002433,0.000000,0.000000,0.004847,0.004847,-0.016073,0.006759
-0.520131,-0.520131,17.455709,-19.697216,0.002383,0.002383,0.000000,0.000000,0.008323,0.008323,0.040592,0.011020
-0.520106,-0.520106,17.455709,-19.697216,0.002612,0.002612,0.000000,0.000000,-0.012756,-0.012756,0.069415,-0.022003
-0.520080,-0.520080,17.455709,-19.697216,0.002525,0.002525,0.000000,0.000000,0.004616,0.004616,-0.000114,0.009955
-0.520053,-0.520053,17.455709,-19.697216,0.002896,0.002896,0.000000,0.000000,0.002494,0.002494,0.018923,0.007824
-0.520023,-0.520023,17.455709,-19.697216,0.002928,0.002928,0.000000,0.000000,0.005878,0.005878,0.042282,0.012085
-0.519994,-0.519994,17.455709,-19.697216,0.002856,0.002856,0.000000,0.000000,-0.002024,-0.002024,-0.004421,-0.003894
-0.519965,-0.519965,17.455709,-19.697216,0.002876,0.002876,0.000000,0.000000,-0.008759,-0.008759,-0.036300,-0.012416
