v,I,P,PR,PL,TR,TL,TRR,TRL,WR,WL,BR,BL,total,total_bias
23.660000,0.160000,3.785600,2.000000,2.000000,0.000000,0.000000,-0.002127,0.000266,0.000000,0.000000,1.785600,1.785600,4.000000,-0.214400
23.670000,0.170000,4.023900,2.000000,2.000000,0.000000,0.000000,0.000266,0.009304,0.000000,0.000000,2.023900,2.023900,4.000000,0.023900
23.670000,0.170000,4.023900,2.000000,2.000000,0.000000,0.000000,-0.017280,-0.009039,0.000000,0.000000,2.023900,2.023900,4.000000,0.023900
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,0.000266,0.009304,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,0.016482,0.018609,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,-0.000798,-0.019406,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,0.000266,0.028977,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,0.000000,0.019672,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,0.000000,0.000266,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,-0.016482,0.028977,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.660000,0.160000,3.785600,2.000000,2.000000,0.000000,0.000000,-0.000798,0.019672,0.000000,0.000000,1.785600,1.785600,4.000000,-0.214400
23.670000,0.170000,4.023900,2.000000,2.000000,0.000000,0.000000,-0.000798,0.028977,0.000000,0.000000,2.023900,2.023900,4.000000,0.023900
23.670000,0.170000,4.023900,2.000000,2.000000,0.000000,0.000000,-0.016482,0.000266,0.000000,0.000000,2.023900,2.023900,4.000000,0.023900
23.639999,0.160000,3.782400,2.002592,2.000000,0.000000,0.000000,-0.017280,-0.019406,-0.022537,0.000000,1.779808,1.782400,4.002592,-0.220192
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,0.000266,0.019672,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.660000,0.170000,4.022200,2.000000,2.000000,0.000000,0.000000,-0.018609,-0.019406,0.000000,0.000000,2.022200,2.022200,4.000000,0.022200
23.639999,0.160000,3.782400,2.000000,2.000000,0.000000,0.000000,0.000266,0.000266,0.000000,0.000000,1.782400,1.782400,4.000000,-0.217600
23.639999,0.160000,3.782400,2.000000,2.000000,0.000000,0.000000,-0.000798,0.009304,0.000000,0.000000,1.782400,1.782400,4.000000,-0.217600
23.639999,0.160000,3.782400,2.000000,2.000000,0.000000,0.000000,0.000266,-0.019406,0.000000,0.000000,1.782400,1.782400,4.000000,-0.217600
23.639999,0.160000,3.782400,2.000000,2.000000,0.000000,0.000000,0.016482,0.009304,0.000000,0.000000,1.782400,1.782400,4.000000,-0.217600
23.639999,0.160000,3.782400,2.000000,2.000000,0.000000,0.000000,0.000266,-0.028711,0.000000,0.000000,1.782400,1.782400,4.000000,-0.217600
23.639999,0.160000,3.782400,2.000000,2.000000,0.000000,0.000000,0.016482,0.019672,0.000000,0.000000,1.782400,1.782400,4.000000,-0.217600
23.670000,0.170000,4.023900,2.000000,2.000000,0.000000,0.000000,0.000266,-0.019406,0.000000,0.000000,2.023900,2.023900,4.000000,0.023900
23.619999,0.170000,4.015400,2.000000,2.000000,0.000000,0.000000,-0.000798,0.038281,0.000000,0.000000,2.015400,2.015400,4.000000,0.015400
23.660000,0.170000,4.022200,2.000000,2.000000,0.000000,0.000000,-0.016216,-0.019406,0.000000,0.000000,2.022200,2.022200,4.000000,0.022200
23.660000,0.170000,4.022200,2.000000,2.000000,0.000000,0.000000,0.016482,0.009304,0.000000,0.000000,2.022200,2.022200,4.000000,0.022200
23.660000,0.160000,3.785600,2.000000,2.000000,0.000000,0.000000,0.000266,0.009304,0.000000,0.000000,1.785600,1.785600,4.000000,-0.214400
23.689999,0.170000,4.027300,2.000000,2.000000,0.000000,0.000000,-0.016216,-0.019406,0.000000,0.000000,2.027300,2.027300,4.000000,0.027300
